video_id,title,upload_date,uploader,duration_seconds,source_url,mp3_relative_path,description_relative_path,thumbnail_relative_path
LaoYkonjwrM,"Consistent Caching in FoundationDB - Xin Dong, Apple & Neelam Goyal, Snowflake",20191125,The Linux Foundation,660,https://www.youtube.com/watch?v=LaoYkonjwrM,foundationdb-meetup-2019/audio/20191125_Consistent_Caching_in_FoundationDB_-_Xin_Dong_Apple_Neelam_Goyal_Snowflake_LaoYkonjwrM.mp3,foundationdb-meetup-2019/audio/20191125_Consistent_Caching_in_FoundationDB_-_Xin_Dong_Apple_Neelam_Goyal_Snowflake_LaoYkonjwrM.description,foundationdb-meetup-2019/audio/20191125_Consistent_Caching_in_FoundationDB_-_Xin_Dong_Apple_Neelam_Goyal_Snowflake_LaoYkonjwrM.jpg
drXnn7eVDlc,"Evaluation of FoundationDB in Financi... Alok Madhukar, Rishabh Maheshwari & Subramaniam Ramamoorthi",20191125,The Linux Foundation,1244,https://www.youtube.com/watch?v=drXnn7eVDlc,foundationdb-meetup-2019/audio/20191125_Evaluation_of_FoundationDB_in_Financi..._Alok_Madhukar_Rishabh_Maheshwari_Subramaniam_Ramamoorthi_drXnn7eVDlc.mp3,foundationdb-meetup-2019/audio/20191125_Evaluation_of_FoundationDB_in_Financi..._Alok_Madhukar_Rishabh_Maheshwari_Subramaniam_Ramamoorthi_drXnn7eVDlc.description,foundationdb-meetup-2019/audio/20191125_Evaluation_of_FoundationDB_in_Financi..._Alok_Madhukar_Rishabh_Maheshwari_Subramaniam_Ramamoorthi_drXnn7eVDlc.jpg
HLE8chgw6LI,"FoundationDB Record Layer: Open Source Structured Storage on FoundationDB - Nicholas Schiefer, Apple",20191125,The Linux Foundation,1095,https://www.youtube.com/watch?v=HLE8chgw6LI,foundationdb-meetup-2019/audio/20191125_FoundationDB_Record_Layer_-_Open_Source_Structured_Storage_on_FoundationDB_-_Nicholas_Schiefer_Apple_HLE8chgw6LI.mp3,foundationdb-meetup-2019/audio/20191125_FoundationDB_Record_Layer_-_Open_Source_Structured_Storage_on_FoundationDB_-_Nicholas_Schiefer_Apple_HLE8chgw6LI.description,foundationdb-meetup-2019/audio/20191125_FoundationDB_Record_Layer_-_Open_Source_Structured_Storage_on_FoundationDB_-_Nicholas_Schiefer_Apple_HLE8chgw6LI.jpg
qHn2BIrp0B4,"How We Saved 5x Migrating from Aurora to FoundationDB - Rick Branson & Ray Jenkins, Segment",20191125,The Linux Foundation,1459,https://www.youtube.com/watch?v=qHn2BIrp0B4,foundationdb-meetup-2019/audio/20191125_How_We_Saved_5x_Migrating_from_Aurora_to_FoundationDB_-_Rick_Branson_Ray_Jenkins_Segment_qHn2BIrp0B4.mp3,foundationdb-meetup-2019/audio/20191125_How_We_Saved_5x_Migrating_from_Aurora_to_FoundationDB_-_Rick_Branson_Ray_Jenkins_Segment_qHn2BIrp0B4.description,foundationdb-meetup-2019/audio/20191125_How_We_Saved_5x_Migrating_from_Aurora_to_FoundationDB_-_Rick_Branson_Ray_Jenkins_Segment_qHn2BIrp0B4.jpg
j0suBhYKav4,"New Snowflake Capabilities and What They Mean for FoundationDB - Torsten Grabs, Snowflake",20191125,The Linux Foundation,647,https://www.youtube.com/watch?v=j0suBhYKav4,foundationdb-meetup-2019/audio/20191125_New_Snowflake_Capabilities_and_What_They_Mean_for_FoundationDB_-_Torsten_Grabs_Snowflake_j0suBhYKav4.mp3,foundationdb-meetup-2019/audio/20191125_New_Snowflake_Capabilities_and_What_They_Mean_for_FoundationDB_-_Torsten_Grabs_Snowflake_j0suBhYKav4.description,foundationdb-meetup-2019/audio/20191125_New_Snowflake_Capabilities_and_What_They_Mean_for_FoundationDB_-_Torsten_Grabs_Snowflake_j0suBhYKav4.jpg
SvoUHHM9IKU,"Using FoundationDB and the FDB Record Layer to Build CloudKit - Scott Gray, Apple",20191125,The Linux Foundation,1193,https://www.youtube.com/watch?v=SvoUHHM9IKU,foundationdb-meetup-2019/audio/20191125_Using_FoundationDB_and_the_FDB_Record_Layer_to_Build_CloudKit_-_Scott_Gray_Apple_SvoUHHM9IKU.mp3,foundationdb-meetup-2019/audio/20191125_Using_FoundationDB_and_the_FDB_Record_Layer_to_Build_CloudKit_-_Scott_Gray_Apple_SvoUHHM9IKU.description,foundationdb-meetup-2019/audio/20191125_Using_FoundationDB_and_the_FDB_Record_Layer_to_Build_CloudKit_-_Scott_Gray_Apple_SvoUHHM9IKU.jpg
